"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6472.50202920407","7885.79654466735","9764.78997879329","11392.4558105764","12307.3117378314","13496.0031426418","14046.5037643078","14936.8272187795","16241.0465209443","16439.3563609282","16586.0684357542","17927.7496352086","19078.3431907515","19356.2033894901","20620.7006259175","20669.0319688645","20436.8871286309","20833.7616116694","22569.9749851801","23300.0395575696","24045.2724833547","25835.1326676284","27084.7036903653","24630.4537141023","23512.6025956397","24985.9932813737","24713.6980451285","26189.4355088129","26647.938100985","27980.8806952751","28281.35048163","29007.6930034887","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7731938409853","59.8608738790779","58.4580149495439","78.7063875407802","82.0952307131832","101.108304853377","137.594352053111","160.898588872438","129.108323102596","129.329712876621","156.518939442982","159.567578521888","135.31730831433","143.144649500081","173.653764639169","186.510897140201","197.445507551145","224.224797281134","247.354106347038","275.738197619262","272.655285650232","264.111317453061","","","","","","","","","","","","","","","","","","","","","179.426610967229","190.683814295088","211.382116942655","242.031284871985","263.733691663044","359.693237501395","364.6607447985","438.076034406941","543.303041863931","591.162759035926","641.871479157539","637.165523187024","613.856689167623","578.466352941708","547.228110150363","556.30200240406","524.162880925404","502.115486913067",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","710.981648140027","642.383857952257","619.96135753111","623.440584831564","637.715230700475","758.237576171151","685.270085316704","756.261853027412","792.303120218644","890.554136459008","947.704182085371","865.69272959239","656.361755960006","441.200673252825","328.673294707808","397.179450769472","522.643807265256","514.295223223424","423.59366023208","387.784316047502","556.836318086553","527.333528536691","872.494491592841","982.960899291112","1255.56404471491","1902.42234554625","2599.56646397608","3121.99563726236","4080.94140992346","3122.78076649385","3587.88379824396","4615.46802807906","5100.09580809767","5254.88233799616","5408.41049555432","4166.97968386501","3506.07288506966","4095.81294155857","3289.64666408633","2973.59115979868",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.48473584821","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97766752106","717.380567391734","813.790263555599","1033.2416930932","1126.68331762741","1281.65939343074","1425.12484888368","1846.11881331912","2373.57984371994","2673.78728253113","2972.74326462176","3595.03716321514","4370.54012699014","4114.14011404922","4094.3503344202","4437.14288515077","4247.62998374252","4413.06086120676","4578.6319939825","3952.80121524465","4124.05572595352","4531.02080555986","5284.38018438156","5352.85741103671",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.55684977329","3498.1736515232","4217.17358114253","5342.16856044208","6319.73903384837","7169.10100559556","7152.37513361051","7751.37021575891","9129.7061851808","11820.8493928325","12377.4116456877","10372.232834745","9610.26630831575","8022.65478128161","7728.90669456943","7774.39382903478","10361.8159820255","12616.167565929","14304.3569645785","15166.437850754","18878.5059692988","19532.5401504525","20547.7117897897","16516.4710272204","16234.8090102012","18461.0648581512","19017.1745902241","18353.0597218473","18894.5214963227","19261.7105038886","21854.2468030614","22971.535535508","25066.8822109807","32271.9639023596","37969.1749907994","40066.2569185146","42675.8127569297","47803.6936075266","48718.4968691913","43503.1855156769","40852.6667774434","43335.3288618283","38686.4612635075","39538.7667220426","41303.9293714464","35762.523073758","37474.6654057245","38962.8803536703","41793.0552583729","40886.3911648431",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","224.878679465042","240.036239815635","262.867418456177","295.971728519522","343.567305991472","423.135492299689","777.562566867844","836.210809803876","1007.14328622128","1123.14558231246","1193.74813328822","1563.70733121269","2052.96153551983","2050.77473670761","1864.875701028","1699.21972296324","1672.2829158097","1606.75980864289","1489.84374430147","1543.51692297153","1476.04470683148","1505.50919896803","2009.42034941289","1929.61843679561","2028.19174257064","1997.27833376709","1989.84061916968","2073.14207584905","2236.32868474163","2319.41034882976","2189.68112340084","2332.7981041241","2606.07658208891","2510.26194706509","2476.69602862123","2736.48211922676","3134.67353367404","3765.82049560194","4359.807962629","4963.54152075659","6146.39172743849","5176.52832429557","5934.2906837414","6867.69204656405","7465.15165094558","7519.80825984063","7457.46110932925","6387.66061493825","6097.23902538074","6102.21106679858","6603.35119013708","6580.05625672999",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26847.7943802772","30118.1377833851","33823.3196498568","28456.7374380931","33512.741325999","42764.4566639901","44987.2097966579","40026.1662502465","34843.1028997611","32309.8077436844","29720.9194734633","23467.9766691997","23726.1523330469","22295.1461115987","24028.1928780116","27729.4664216648","26612.3355369691","26420.8727534823","25596.6922747864","25847.9261239252","27222.0358561647","28975.0229000791","29512.6637440248","26899.601766231","28470.8378632746","33291.419366353","31280.7842785952","31567.4737120596","33499.0937513705","36333.2498445266","39365.4339019123","41907.405655968","41809.516382842","44498.9342301633","32024.1816031187","33893.303514039","39194.6766208456","40976.4997112455","42412.6302780364","43751.8388860721","38663.3838066363","38141.8467585492","40644.804043392","43839.3563491413","43103.3230583165",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1155.89017025099","850.30473690206","1173.23821277123","1279.11343214531","1272.80297767396","1062.54355190601","1141.0804807929","1329.05865921566","1322.59080368944","1372.3743432739","1408.86520848881","2097.02257902742","2844.86364753884","2027.33712384746","1948.22468587272","2129.70828089903","2146.36448309866","2520.92163373012","2758.83521210768","2776.32199028147","2927.89756021605","3553.37775166279","2659.70860023312","2926.126969514","3613.62170927636","3562.87560174521","3985.19121035849","2383.86769311311","4333.48297312146","5735.36032735223","6823.5376160468","6969.11808781005","7483.13968170844","7408.70823818765","7721.35454273963","8213.12719994479","8289.50572933118","7774.73620280001","7708.10099605414","7208.3715665121","2593.40415042466","3349.8061244115","4277.72135064389","5109.85132522621","5919.01203707753","7245.44831728945","9020.87309807194","8225.13717626412","10385.9644319555","12848.8641969705","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2424732447","14591.8633810541","11683.9496216363","10006.1489736082",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.854659491342","590.121047267559","369.632616583198","357.203277745679","400.515238080735","456.375048663809","504.058559449916","523.283068040748","609.172437516102","597.432514707894","622.742139063498","694.42322774468","783.240698647042","930.127321851799","1191.91901957402","1643.7530293611","2158.14369710179","3139.27749894333","4010.85724255226","2994.34254448509","3218.37270660563","3525.80474671153","3681.8574560431","3838.18580148382","3986.23162376713","3607.29669672271","3591.82927553023","3914.5012684128","4220.49027671249","4622.73349328671",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8700.06770480704","8856.54745899435","8578.94472277609","8444.98169974145","8391.56106721708","8909.44915617236","9792.66680581646","11961.2582255703","10271.2245225485","10294.3022651052","11568.7930012395","11505.3937142139","11507.2323493037","11843.3311832581","11696.9555623329","10823.4448040273","11466.6907058505","",
